"","parameter","rep","CB_DU","CB","P1"
"289","hheduc3",7,0.447627642670943,0.711877403272194,-0.0870062690566318
"290","hheduc4",7,0.598535254340052,0.825175057672484,-0.0661969144180686
"291","higheduc2",7,-0.517169016215105,-0.150535059792838,-0.916977049583463
"292","higheduc3",7,0.0567431162480405,0.152907390606848,-0.200276138821134
"293","higheduc4",7,-0.0800442282677007,-0.0329085079491875,0.0311823869097951
"294","tfloor",7,1.24354233069557,1.11246021062536,0.987274225381393
"295","twall",7,0.573312763436541,0.418616465301029,0.791274707385701
"296","toilet",7,0.658328264183671,0.703703195140637,0.144929929260579
"297","water",7,-0.105207074370246,-0.347328330251971,1.08922431643833
"298","lighting",7,0.226141794864278,0.0677245553555163,0.600940716029518
"299","troof",7,0.202307569078194,0.213388546645259,-0.213963950535566
"300","fcook",7,0.306189647868988,0.349465033525945,-0.0103154690368303
"301","house",7,0.273861253669542,0.294679012063081,0.439424632072555
"302","computer",7,0.796469682303246,0.73433286123916,0.692245008134185
"303","radio",7,0.012992960403208,-0.0234950476691221,0.299813528427613
"304","tv",7,0.648187897707655,0.747633708039637,0.106543554351957
"305","dvd",7,0.230479780843896,0.175068919040155,0.213118534519926
"306","satellite",7,0.468207435098088,0.688525000506156,-0.178012188833603
"307","ac",7,2.6727127652222,1.78018227690477,2.78491952789076
"308","gas",7,0.310213360234593,0.140666159890297,0.675014119197249
"309","refrigerator",7,0.528171006726064,0.335980306865192,0.749337458183945
"310","bicycle",7,0.115930285871158,0.163283408278427,-0.359927135335616
"311","motorcycle",7,1.11451279401049,1.05115028001409,1.03807906228905
"312","auto",7,1.74706183107475,1.57846151679913,1.39635822827558
"313","hp",7,0.206679274240661,0.256494154347272,-0.200446823252553
"314","jewelry",7,0.0367615694271066,-0.087494097767288,0.516428808533733
"315","chicken",7,-0.285939237992952,-0.3559028387469,-0.0354714581734388
"316","cow",7,0.493294175279848,0.681928147053435,0.065195306755144
"317","credit",7,-0.215622586600681,-0.0488427719213106,-0.372826235749308
"318","hhsector1",7,0.86790756803766,-0.709206811105385,1.13786150814401
"319","hhsector2",7,0.665035265842824,-0.857557261361851,0.651311583982202
"320","hhsector3",7,0.649713706702152,-1.02391913920897,0.775707441501518
"321","formal",7,-1.05353321667249,1.64550576771184,-1.70492059101103
"322","informal",7,-1.15641987413323,1.54554702890925,-1.87839578555991
"323","hhsize",8,-0.195995110399707,-0.425292167042474,0.0760179969996629
"324","hhage",8,0.299804426250939,0.389231226433373,0.197221384464461
"325","age04",8,-0.20583304897731,-0.108782564144887,-0.0815146947397413
"326","depratio",8,0.206449971904576,0.223758010861301,0.0519120032303937
"327","pcfloor",8,0.319733340730372,0.322674305766034,0.37394270950186
"328","eschild",8,-0.00515659156640215,-0.0469374226859613,0.327244714312482
"329","jschild",8,-0.101752118241898,-0.0862231481930758,-0.00337239509254286
"330","sschild",8,0.107708482674009,0.12668249721816,0.139234389819189
"331","connected",8,0.044783648495401,0.075943453643385,0.098195716822948
