"","parameter","rep","CBT_ncomm","Hybrid_mu_beta_mean_noelite","Hybrid_beta_rank_mean_noelite","Hybrid_beta_micro_mean_noelite","Hybrid_mu_beta_mean","Hybrid_beta_rank_mean","Hybrid_beta_micro_mean","CB_beta_rank_mean_noelite","CB_beta_rank_mean","PMT_beta"
"1697","credit",7,50,-0.0538576240114541,-0.13056097814771,0.0200257757352221,-0.0498494077649184,-0.127949411996037,0.023375402400877,-0.318877426392521,-0.356615311027233,-0.0468463798376175
"1698","hhsector1",7,50,0.0109665011366203,0.000833006469584933,0.0347289454025029,0.0779488428706104,0.0882119472713485,0.0663552633913214,0.510595618304237,0.552973967649422,-0.284571519855771
"1699","hhsector2",7,50,0.0646484457957938,0.156057975692157,-0.022577038147023,0.112457533272332,0.240610159854132,0.00576646810793227,0.942772274130024,0.950591507955681,-0.392620855776263
"1700","hhsector3",7,50,0.11217713189598,0.169674890491101,0.0598339500806672,0.172612286385229,0.257617812783948,0.0920790121607289,0.855947013653772,0.863927848370577,-0.198549926301334
"1701","formal",7,50,0.107816768896735,0.085335088105142,0.136933213022733,0.105870461721477,0.104223887423471,0.114812875195955,-0.234907113842701,-0.208224522381072,0.459029087848897
"1702","informal",7,50,0.127911953229824,0.238299020605475,0.0123318713572429,0.132997465730621,0.290967129756428,-0.0119843825863773,0.124492370867121,0.161719848406314,0.358230671032837
"1703","hhsize",8,50,-0.376780838626143,-0.152161687454335,-0.621609201016154,-0.363109171190758,-0.129648151258976,-0.621153379333024,0.0221690882678791,0.0176574575253712,-0.293538265158565
"1704","hhage",8,50,0.0844654886819263,0.155437568323615,0.00895388803173412,0.0762329418806891,0.147382607229348,0.00977007465793659,0.0991386924910807,0.109571981734765,-0.0744271433213046
"1705","age04",8,50,-0.0302291439899317,-0.0789686442088991,0.0147261278792745,-0.0326348361908494,-0.0787402723821225,0.0166067857777364,-0.308209902642569,-0.309481807211912,0.00891197480995029
"1706","depratio",8,50,-0.0588426489470401,0.0617906297229706,-0.182169361893175,-0.0616405587724574,0.0650634203977033,-0.183244351282254,0.357263333326314,0.357220881622814,-0.133522167841561
"1707","pcfloor",8,50,0.20015410242011,0.157132733798667,0.258812677945419,0.199235255004718,0.14830461754088,0.259165895296136,0.184508014854575,0.221450344200367,0.741742768681687
"1708","eschild",8,50,-0.126540963014133,-0.290666919174029,0.0187266613217847,-0.134243205468725,-0.29625647375317,0.0167717305481029,-0.656918586963595,-0.644766188838929,-0.035802051465204
"1709","jschild",8,50,0.0175291773154681,-0.0324206494079529,0.0788069128640744,0.0165441089038527,-0.0484618152118552,0.0784071308918829,-0.141283973797559,-0.134984941632086,-0.0904403837278137
"1710","sschild",8,50,0.0755960664212149,0.0738146948479632,0.0776123413361913,0.0692856891932041,0.0642043504564881,0.0778836606369164,0.0467223515601771,0.0327381208591044,-0.0364034561295607
"1711","connected",8,50,0.00218418896220495,-0.0159839633091259,0.00962790337313799,0,0,0,-0.0533948534362688,0,0
"1712","hhmale",8,50,0.11935824999964,0.296341219994815,-0.0388093747187995,0.109279028457417,0.276166302904478,-0.0440458702707057,0.388126655183055,0.382567892692598,-0.236675940730686
"1713","hhmarried",8,50,0.141703741043102,0.378605820006018,-0.0774683494452345,0.162478654344497,0.399579325377205,-0.0711705111779615,0.500848081384064,0.510389413861813,0.124536390645289
"1714","hheduc2",8,50,0.191241339934045,0.265723074195975,0.139307366909447,0.197353631184505,0.277947754377056,0.135036044245317,0.316611755279792,0.273658425514322,-0.0448479175272752
"1715","hheduc3",8,50,0.229260862359178,0.323827122412135,0.150337524056782,0.232714673027939,0.32680794450885,0.148289015643601,0.404096627325286,0.375321237401749,0.0907129329937617
"1716","hheduc4",8,50,0.317858312352643,0.481840304770103,0.17377037166983,0.318030419761828,0.50395254060541,0.174021301920625,0.665156417496903,0.597675651836803,0.0144061828496714
"1717","higheduc2",8,50,0.0744302046930639,0.178249142735955,-0.0103492485208754,0.11458946187825,0.224185982784397,-0.000989909447915068,0.798169510436703,0.851897204196391,-0.0338032050396584
"1718","higheduc3",8,50,-0.0289256326080798,0.0245396135452282,-0.0779543817752006,-0.00391652459544398,0.0540032701082279,-0.0704120891222002,0.514883553775494,0.568990898375129,-0.161582192642679
"1719","higheduc4",8,50,0.0833787837773322,0.201257066424288,-0.0145563335808241,0.100405563474474,0.222465805721935,-0.00553198493853178,0.649870147218928,0.714235944332828,-0.161152020296595
"1720","tfloor",8,50,-0.0820574720626391,-0.199283206784567,0.0259484045956388,-0.0694667366823941,-0.182658560587564,0.025235780234411,-0.305498383407312,-0.350263963865935,-0.268396564162837
"1721","twall",8,50,0.294480566563663,0.486403104234616,0.119658947884779,0.296627412993995,0.493570226753012,0.121320256378331,0.622057634506915,0.606722244797349,0.105575225446315
"1722","toilet",8,50,0.162538052222762,0.294084409763905,0.0511272075197642,0.177185909989301,0.318997683166953,0.0508996124342678,0.396314276743472,0.403592826128709,-2.70958905003112e-05
"1723","water",8,50,-0.0738889276420085,-0.0204602587149541,-0.137970028843559,-0.0817196484594508,-0.0234129890346166,-0.138476788689796,0.0814905309525897,0.0758331061158925,-0.0209696861743051
"1724","lighting",8,50,0.189287832255447,0.282682465027754,0.118297435107815,0.200698936093422,0.294299007032173,0.120121543891361,0.354326526348018,0.350063630514368,0.184893671632906
"1725","troof",8,50,0.0777628389608871,0.271970529460989,-0.122211068000049,0.0421039775639029,0.206375878183604,-0.126229017171682,0.735820049114752,0.902227686206046,-0.12886281618776
"1726","fcook",8,50,0.142550595955323,0.0870543954945344,0.208384072987091,0.136070507441037,0.0807308834544495,0.208777799922913,0.0102849962857427,0.040423384174339,0.18063547623321
"1727","house",8,50,0.244209567088526,0.463552598328068,0.0532923452906742,0.256783785352726,0.467727264745333,0.0560267352857068,0.613152300450151,0.608169727711949,0.110482181644322
"1728","computer",8,50,0.481286865894977,0.485213974750486,0.508283460883348,0.488607244473724,0.484482906014998,0.511465593917659,0.47762425289305,0.479213888131413,0.0999891831060552
"1729","radio",8,50,0.033905359514685,0.014293800592376,0.0468123768595299,0.0334841534752608,0.015231757125843,0.0495284312904375,0.038372109563293,0.0265624644057201,0.0524820577263031
"1730","tv",8,50,0.0386551917543846,0.14684570970177,-0.0654704772812905,0.0380546897887295,0.134501618404585,-0.0649237534591918,0.168191761589685,0.222547628860806,-0.0457922512573126
"1731","dvd",8,50,0.090320984974585,0.0532106809550057,0.121635527178118,0.0875772497176712,0.0537136621783271,0.122125097076826,0.0156909883642488,0.0108114717811886,0.21940104909864
"1732","satellite",8,50,0.197970696055595,0.258977957002115,0.15687445230213,0.198766906340002,0.254927172332024,0.156665541501614,0.424108765758486,0.370614869699598,0.07699268246974
"1733","ac",8,50,0.553541565632405,0.697958389422215,0.443759740746463,0.559218710063873,0.702307497547348,0.448788450980044,1.72074517464312,1.6191117311552,0.91771970632162
"1734","gas",8,50,0.138122920532199,0.0921282865824061,0.198952045690665,0.134842784971982,0.0709410692133107,0.201239733714003,-0.0715545543144402,-0.0505564871113197,0.0800545628498365
"1735","refrigerator",8,50,0.309166121174365,0.43066972120167,0.206914663315788,0.305487797322144,0.422923134019418,0.204137423607004,0.455068971514298,0.433407895188946,0.295192666154551
"1736","bicycle",8,50,-0.0202743050190519,-0.0444013007977112,0.00339218217318211,-0.0362626408186204,-0.0694237330018876,0.00426800646275976,-0.170125401704257,-0.146352333124174,-0.00487125992650002
"1737","motorcycle",8,50,0.439356261544964,0.683898235062576,0.208950167981949,0.427767249362015,0.681488399985937,0.208635277013159,0.76773032452958,0.767901134088796,0.154166294495853
"1738","auto",8,50,0.561730014767497,0.665843505387276,0.490909991772174,0.565119324845512,0.683210597189824,0.485453193639385,0.948024322942156,0.887312952356428,0.326270604453666
"1739","hp",8,50,0.110150825712976,0.0350281490300158,0.178234564342359,0.0983725307505631,0.0333392702488957,0.173272561304457,-0.121858837298873,-0.114872046021911,0.302080520485466
"1740","jewelry",8,50,0.0874835702575127,0.13215843617143,0.0470727132899833,0.0839110763789775,0.131283794497426,0.0500790433895438,0.177045549786727,0.199791077975893,0.0496475603792061
"1741","chicken",8,50,0.0702356140510791,0.0816465481166139,0.0592562037156659,0.0721761104872047,0.0794139884137758,0.0607961443428834,0.0584378509704415,0.0526891353316399,-0.0969102074946397
"1742","cow",8,50,0.171850117996868,0.396713191750392,-0.0467182731788111,0.178760820065351,0.419769554924977,-0.047866687163099,0.80329243621746,0.803161329076412,-0.0703103798323384
"1743","credit",8,50,0.0300755045472118,0.0369172551421975,0.0285563721331112,0.0385527438979328,0.048633618215382,0.0309972759208625,0.122115359685136,0.0798102438652368,-0.0791100187072177
"1744","hhsector1",8,50,-0.0879359853695914,-0.101040857591931,-0.0796443101251137,-0.047214255664828,-0.0473387777507803,-0.0487313685498598,-0.711837494283258,-0.787183057072222,0.475971816220704
"1745","hhsector2",8,50,-0.151527125304888,-0.160548520630164,-0.14743611788288,-0.119079493796442,-0.128454801624397,-0.117447465370914,-0.746796956956567,-0.779166016964295,0.467334965375389
"1746","hhsector3",8,50,-0.0384460976947009,-0.0221091724525266,-0.0558603970528605,0.00398515165562822,0.0296519966692637,-0.0251551118308072,-0.52972191498617,-0.563567158138602,0.600426081339933
