"","parameter","rep","CBT_ncomm","Hybrid_mu_beta_mean_noelite","Hybrid_beta_rank_mean_noelite","Hybrid_beta_micro_mean_noelite","Hybrid_mu_beta_mean","Hybrid_beta_rank_mean","Hybrid_beta_micro_mean","CB_beta_rank_mean_noelite","CB_beta_rank_mean","CB_DU_beta_rank_mean","PMT_beta"
"1488","higheduc3",3,100,-0.114013949766073,-0.140768062271988,-0.0917955350076917,-0.119266326016022,-0.14182186122876,-0.0909125492846885,-0.210140868593394,-0.216079229948149,-0.0369421151442114,0.0845264469404471
"1489","higheduc4",3,100,0.0720337430347281,0.157576507114676,-0.0247639313829183,0.0667907004425725,0.164223737650461,-0.0240090097956614,0.11015584115475,0.0957595749042524,0.277090680676586,0.223656655010467
"1490","tfloor",3,100,0.19066883341713,0.334647551106725,0.0443367126220021,0.210828117736772,0.370075967473373,0.0467605545262507,0.437879273479181,0.450128144264363,0.309478331310909,0.0293735774706979
"1491","twall",3,100,0.250988785787763,0.386024536710393,0.118748124618658,0.24887450378036,0.383989053057778,0.118363864643446,0.395802490090332,0.39648832434771,0.421851527170139,0.130034171153413
"1492","toilet",3,100,0.131678598397433,0.220895139313697,0.050117462220385,0.138940695574709,0.225832576186665,0.0524940689213795,0.223049332242724,0.227633866876338,0.259808206745729,-0.0606839958086797
"1493","water",3,100,-0.116661458925536,-0.0907597415664126,-0.1402768374208,-0.118041179771842,-0.0984002683555021,-0.139859736903653,-0.111100837222073,-0.133781999906213,-0.11959085006303,-0.0543329919881472
"1494","lighting",3,100,0.17914538349735,0.249466159560233,0.117074935197099,0.189409281133324,0.269019407745766,0.115548498807063,0.256320660997428,0.265949977165522,0.267148890035525,0.0644494535899414
"1495","troof",3,100,0.0974024899909033,0.320092286853402,-0.122201631059375,0.0659529876667654,0.258101509303753,-0.124192402911144,0.46087569945407,0.379426173648422,0.307004584686634,-0.114285097433417
"1496","fcook",3,100,0.247275320343307,0.297633232126169,0.212351164198169,0.243121715975027,0.294463501033531,0.212888342682442,0.294259795614315,0.299539713419543,0.24020129983502,0.141003944304123
"1497","house",3,100,0.156553516056085,0.277608120224653,0.0515217643696627,0.156931115785365,0.273140184463123,0.0569583663647508,0.294620790703022,0.291777522052591,0.308995650478443,0.146551034020768
"1498","computer",3,100,0.588355187315032,0.67262948303283,0.527187651719844,0.577423657540477,0.664634943519441,0.52803888012114,0.742735021224979,0.770575671649799,0.452243905783462,0.70515927795135
"1499","radio",3,100,-0.0167301012900595,-0.0834178742606995,0.04681710573609,-0.00915570061789717,-0.0825669875151854,0.0470144543276747,-0.121746028923334,-0.121054779464693,-0.0643175108449541,0.0514472721019842
"1500","tv",3,100,0.107481702171248,0.298357043261734,-0.0647311453502606,0.104620450672739,0.2884159668352,-0.0652011743403472,0.361723555120537,0.362620632355973,0.333950432792244,-0.02056937622448
"1501","dvd",3,100,0.157840501995213,0.198442068340133,0.123466692655122,0.150881016238712,0.191808445861824,0.12535767485102,0.180729120511972,0.189731502857429,0.160358963012972,0.087329120043439
"1502","satellite",3,100,0.0811070701447103,0.00608880379226997,0.148892211409696,0.0907283282240697,0.034141026912914,0.150803092699689,-0.0475141781874726,-0.0644766881293136,-0.0879782324853988,0.158604028535689
"1503","ac",3,100,0.465065605815441,0.518909386194823,0.428580197804249,0.456674590004042,0.521072291304027,0.425498439365183,0.881330228551031,0.899993157703745,0.414367652097583,0.822654201871889
"1504","gas",3,100,0.239368503364828,0.298981001470748,0.20383104922127,0.240912789786358,0.296360069501028,0.203936856536319,0.308116385199611,0.292404201641767,0.253735758468498,0.159900606746046
"1505","refrigerator",3,100,0.315951773085907,0.444022243794285,0.206539720028207,0.324768016718271,0.460330926250492,0.207350492356896,0.459245400780277,0.469188391344254,0.534482898985935,0.216338740732701
"1506","bicycle",3,100,-0.0231695621920429,-0.0548284356238386,0.00118388507601016,-0.0191932354570539,-0.041549979897106,0.00158267670416074,-0.0838965769273855,-0.0651893503326244,-0.0185847601698077,0.00647240282145028
"1507","motorcycle",3,100,0.402470730047918,0.606917305245958,0.207350803823728,0.391767139671777,0.605184984531414,0.206221586660744,0.662221875885297,0.66269170905555,0.607729456712741,0.297904041159847
"1508","auto",3,100,0.426420934396743,0.400028387159855,0.471734172458007,0.408894538204,0.378873003098425,0.467602295323009,0.29609272875421,0.30687875460565,1.02684487344233,0.428214342703569
"1509","hp",3,100,0.145062220936183,0.1082025544741,0.178919853382078,0.144313084950996,0.121132132445922,0.179761170432593,0.0987381391298091,0.0977936356866187,0.0415191568278085,0.165105258349004
"1510","jewelry",3,100,0.129716085718667,0.22042166157571,0.0500061133257258,0.126462540088094,0.20622920262962,0.0483607431403709,0.224240780074493,0.218374771999354,0.183030801709936,0.00959209645930653
"1511","chicken",3,100,-0.0274339112614204,-0.11074607752191,0.0593282794231625,-0.0151646845999359,-0.09225717489607,0.0611121592131703,-0.126556786547103,-0.118131798341796,-0.0892403074396796,0.0531397928997583
"1512","cow",3,100,-0.00725227691524395,0.0432966502752747,-0.0534031081049894,-0.00148704212257483,0.0562767224965625,-0.0551124794900159,0.1081666142366,0.0748464509255806,0.256189349874177,-0.0219015664024587
"1513","credit",3,100,0.0490562580336391,0.0626680183015949,0.0283138559773517,0.041216868935679,0.0584520283397987,0.0274221560136057,0.0697291217669908,0.0891025503443164,-0.063382518238632,0.0364014485286273
"1514","hhsector1",3,100,0.0593865725254686,0.0993547407771021,0.0266363691102843,0.108028318508195,0.163988656532996,0.0600311878685925,0.242455364993103,0.208057149538938,0.0802400676066705,-0.0992587554568075
"1515","hhsector2",3,100,-0.0733893220902613,-0.110754552249268,-0.0447792817715087,-0.0278599844492718,-0.0649140503009996,-0.00727402240212009,0.0218974322373477,-0.0346499922717987,-0.104877339193844,-0.0966210872418248
"1516","hhsector3",3,100,0.0773165369049868,0.108804081571401,0.0470412398805055,0.115721527524279,0.151010534953322,0.0827572685663844,0.246613959625563,0.181444672496827,0.0941654940698209,-0.106213214761772
"1517","formal",3,100,0.0892547964721751,0.0813832267603199,0.11972913390577,0.0623160899267126,0.0358465111121318,0.0856909404999906,-0.0749389237791747,-0.0479899294016838,0.181798639430757,0.00149771184943164
"1518","informal",3,100,0.0184891318870212,0.0472178188956958,-0.00788109720345985,-0.0249250674869097,-0.00475924143005563,-0.0418008983165692,-0.102540648966673,-0.0994121124461698,0.13877652335972,-0.136595709511798
"1519","hhsize",4,100,-0.408703534165719,-0.214984020859162,-0.622795793736845,-0.418819296782971,-0.243184027955196,-0.625222902596338,-0.162255486913577,-0.151813009192777,-0.205531427199708,-0.57888405479442
"1520","hhage",4,100,0.0945222287006231,0.157964311930472,0.0148519137898583,0.092496329655713,0.16657932696113,0.0146301687376269,0.179663486652889,0.172767572258294,0.173798311966691,0.0883122572901471
"1521","age04",4,100,0.0482396599280217,0.0716652660248614,0.0224641524034641,0.0587599239100854,0.0859528762031966,0.0257189361061976,0.0402246911407644,0.0462330379685262,0.0337885319375633,0.0690836688310192
"1522","depratio",4,100,-0.146817955498065,-0.110326736951967,-0.189403421595829,-0.153497910240345,-0.112379195467663,-0.190093641788074,-0.0940202955949802,-0.0988236730471138,-0.0144692483937679,-0.282607675642249
"1523","pcfloor",4,100,0.275676174320353,0.2966396051932,0.258687856871142,0.26673720321389,0.301651054821754,0.256423259764169,0.320673217044701,0.315287187593463,0.356109165738703,0.308969340435022
"1524","eschild",4,100,4.35375134814105e-05,-0.01258063718918,0.0222317915704551,0.0100947836190279,-0.0148888879516743,0.0236494114572066,-0.0436943877793247,-0.0496497987750267,-0.0882422046512211,0.111508110964998
"1525","jschild",4,100,0.0423046378865277,0.0109440001607962,0.0794991699542186,0.04306784315403,0.0145982175888313,0.0812115468984719,-0.0154837808351903,-0.000929442529077177,-0.0211429292811456,0.0429316308635947
"1526","sschild",4,100,0.0438617633498965,0.0244710352679631,0.0737660094534717,0.0512639292546099,0.0260882725408561,0.0780785053988734,-0.00220138705743059,-0.00557681661185297,0.0337188848186861,0.0817958320129865
"1527","connected",4,100,0.021073940493635,0.0342785200479035,0.0107504100191447,0,0,0,0.0185251370365441,0,0,0
