"","parameter","rep","CBT_ncomm","Hybrid_mu_beta_mean_noelite","Hybrid_beta_rank_mean_noelite","Hybrid_beta_micro_mean_noelite","Hybrid_mu_beta_mean","Hybrid_beta_rank_mean","Hybrid_beta_micro_mean","CB_beta_rank_mean_noelite","CB_beta_rank_mean","CB_DU_beta_rank_mean","PMT_beta"
"323","secondary",10,5,0.108288420759193,0.0771457652178938,0.146925334123055,0.0927392207107341,0.0486526855943525,0.153815418910819,0.143576224409839,0.252313390914815,-0.167445486698428,-0.0241017106074507
"324","tertiary",10,5,-0.101624371783546,0.00376429261577629,-0.222116014711899,-0.132458570573469,-0.0225948609663736,-0.272214402382519,0.877469630579434,0.835289235931092,1.52568292828798,0.413123027401865
"325","literacy",10,5,-0.0142182833100332,-0.0911011914463941,0.0655746438441848,-0.0298633015073677,-0.108615601657742,0.0553133290727551,-0.160200207219275,-0.2563546841539,0.113267310222104,0.254980402278932
"326","agriculture",10,5,0.215279853087929,0.252562341528812,0.204150936521732,0.252230433419485,0.328439466752884,0.213865652013292,0.731818116142695,0.52054492560143,0.0359724437982346,0.325295679492526
"327","cart",10,5,-0.137646305222538,-0.346399740048408,0.0619285743137415,-0.155910195612105,-0.405612498419105,0.0741064676439368,-1.60816194995591,-1.48645644388241,-0.420961447855663,0.295392124424353
"328","plow",10,5,0.174089861863546,0.251911087876152,0.124338160439759,0.203559892613687,0.305609946678041,0.11657811088145,0.578198451490426,0.506785823169133,0.210862647535491,0.350020950477636
"329","bike",10,5,0.113461498304022,-0.07481620546788,0.317045564175397,0.0662403973935387,-0.147974990671872,0.304188119190409,-0.377983874199779,-0.40833571443401,0.325751633129355,1.52040166906754
"330","motorbike",10,5,0.462209225842146,0.888469388406132,0.101271727771098,0.498193807859774,0.973809056987511,0.0925786446962845,1.87079245297197,1.78354228218658,0.891213279725457,-0.143197035118477
"331","car",10,5,-0.0856646678420871,0.0124376698685937,-0.194078424839967,-0.0885265666654931,0.0268334848616948,-0.216691945189674,0.82924588211866,0.870673927375399,0.758767484141476,NA
"332","radio",10,5,-0.0347080067938025,-0.120786132335137,0.0571432270363268,-0.0479027061681707,-0.158146339249754,0.0647979756730021,-0.23224281068584,-0.271909100871083,-0.126747177489223,0.426057628003095
"333","tv",10,5,0.167282223354948,0.178587360161528,0.170302640432472,0.162797511353404,0.167364226500515,0.181559471997322,-0.39046126893993,-0.181645881375235,-0.25405284580566,0.515952203942629
"334","fridge",10,5,-0.0754889981693858,0.0220967525987585,-0.191391415942065,-0.0611757639263893,0.0663575625204522,-0.191452176824481,0.337850351252721,0.193201005821454,0.965361029990521,-0.39441240040876
"335","kitchen",10,5,0.602100407649097,0.708653823839739,0.543341895869483,0.53464777256759,0.652323514885838,0.503072242565561,0.881060148347543,0.786916658433572,0.74095393660452,NA
"336","horse",10,5,0.203775067344678,0.469353773687721,-0.0244664216632036,0.206795335374406,0.479042764815181,-0.0310517366277563,1.78381267095303,1.45124519517759,0.551682838244722,-0.438201649642179
"337","goat",10,5,0.274576623540165,0.470256964787536,0.102367741462728,0.329796698233366,0.602133520884894,0.100748249406553,0.819298020500812,0.892330075376154,0.694926387485043,0.0495460686117417
"338","chicken",10,5,0.0987708370162431,-0.107808136760403,0.301164556245298,0.0892151732912022,-0.0911852732700363,0.301771724691746,-0.257079485000967,-0.261775017109385,0.0560004254269362,-0.0427369886231512
"339","bullock",10,5,0.120587055151605,0.233959206876555,0.0321412596678631,0.181125925479423,0.326284993150301,0.0423030434814782,0.0298791019663791,0.230815424775567,0.572028957543009,-0.365103416021481
"340","pig",10,5,0.153686618977399,0.223476381842363,0.116225650194907,0.146536138724446,0.192050123976634,0.130190188489676,1.06948949760396,0.668877303765789,0.451391636508833,-0.101193377463626
"341","rooms",11,5,0.220221617058174,0.445133843271956,0.0225345461858237,0.213913584771272,0.424465572565459,0.0234216383898563,0.536714661500704,0.434829802971421,0.422554841708736,-0.0781686261724178
"342","hhsize",11,5,-0.0303521198387654,0.0954292214811438,-0.157456924030828,-0.0269802279427768,0.107160915410014,-0.16788784051815,0.648095807902257,0.733065168377157,0.448777591470673,-0.0299824614122602
"343","age1660",11,5,-0.0626093814629788,-0.308070880253118,0.165371262492949,-0.0556485569793054,-0.287748335900928,0.165804540012675,-0.653692637939717,-0.639581530708231,-0.629797442466014,0.487127350088782
"344","age60",11,5,-0.285803754202466,-0.280310766296935,-0.345453497968203,-0.310759847989211,-0.331449988132252,-0.344366620707728,-0.529237407549063,-0.497308394687717,-0.631996521697163,-0.0328740405744636
"345","floor",11,5,0.427200396380363,0.645159936777419,0.280656752064897,0.413909224876646,0.588614110299403,0.289983700745382,1.15825378138973,1.19901603309209,0.625979973886399,0.15388206456358
"346","walls",11,5,0.170824205312379,0.296158958625172,0.0897553957070164,0.181380034571216,0.294757769227863,0.106726213818818,1.10717426414584,0.999692439996707,0.287186766479299,0.0281218853247914
"347","roof",11,5,-0.0102610308431237,0.129765140257944,-0.151855582872358,-0.063422390702967,0.0253449775769583,-0.148493560636223,-0.551299045361058,-0.463922027108978,0.00385079514243428,0.121490299336419
"348","toilet",11,5,0.0783514495186924,0.114298597547394,0.0377909811747469,0.0500291050505546,0.0407318256607238,0.0458053430887798,-0.119583292842051,-0.156156748112758,-0.379512215375414,0.0126665614196558
"349","well",11,5,0.13911356601709,0.386859203335198,-0.0885291522685006,0.099890150157115,0.307099560334223,-0.0831444914054048,1.2356817217514,1.06043529193826,0.737248292550076,0.0217492813272202
"350","water",11,5,0.198984255293476,0.404375795966364,0.029911593547084,0.099842150052669,0.162327874316731,0.0322653033520697,-0.45577768390291,-0.212257237569606,-0.0714252893582253,0.906745497818464
"351","waste",11,5,0.235645843000121,0.247445296959791,0.229170709664165,0.217954659203257,0.230526150796509,0.236879946426492,0.0583723378780113,0.162570395716887,1.05115416966828,0.176400188890658
"352","male",11,5,-0.440647734842512,-0.451953038563009,-0.481295728643285,-0.424399974371816,-0.441348692284892,-0.472660963507353,-0.0970310235790525,0.0183543004655911,-0.188647195613112,-0.377045725981519
"353","married",11,5,0.186801272767089,0.313941659581967,0.0837191788196856,0.155260945404016,0.237399758858276,0.0864063911724389,0.514348269466299,0.567319845699804,0.580653081311742,0.158854262360041
"354","widow",11,5,0.177242960647607,-0.070606738218944,0.461820056479729,0.165121620570912,-0.100217046346917,0.454570247060015,-1.20906797811922,-1.22351614747422,-0.85882442912696,0.40618727959631
"355","minority",11,5,-0.0723848938704787,-0.0310969784435734,-0.114422844486759,0,0,0,-0.856457800936238,0,0,0
"356","primary",11,5,0.0285909118571229,-0.030099506160484,0.075493485577074,0.0156404629795458,-0.0589440663694355,0.0954681248094584,-0.626284135532577,-0.527269640452929,-0.353247780032408,-0.0102785137912921
"357","secondary",11,5,0.00159195646423652,-0.132194051895089,0.135742231766615,-0.0311146607083305,-0.192099603561748,0.14304286356639,-1.31656690618915,-1.25949656385627,-0.563707010624767,0.325491180263192
"358","tertiary",11,5,0.188939584780249,0.452852157420732,-0.0577561071064451,0.0079656979285035,0.221093254367223,-0.187140371519068,2.2715901901375,2.51131139177619,-0.237967558474054,0.509499187603565
"359","literacy",11,5,0.145729103567236,0.243224013821401,0.0647818728183402,0.0919337182166422,0.126201635409657,0.0566290803363052,-0.195940380971294,-0.0712351723211468,0.0163475848637549,0.238697908431135
"360","agriculture",11,5,0.0578522541807317,-0.0600290973042,0.198942951771629,0.041757117980429,-0.125482046887189,0.196107357361675,-0.597542701611566,-0.511214687728316,-0.811273591979631,0.0376790570141235
"361","cart",11,5,-0.00194339495639278,-0.0765058914739231,0.0878350700266106,0.0306257967753928,-0.0251304867319482,0.0941608080770354,-0.0858269100214435,-0.141984281565517,-0.151421817239515,-0.0680980826515044
"362","plow",11,5,-0.0183778710792462,-0.15162362717549,0.108326574612984,-0.022940725732754,-0.136545608534728,0.099782521884907,-0.393805663541397,-0.397885794535121,-0.370246171050313,0.280467506440571
"363","bike",11,5,0.184671850459326,0.0807535151878511,0.320212322704422,0.0554123585990165,-0.184539469730498,0.293051047605283,-0.692269965375671,-0.598868416790502,-0.580786069665304,1.14793494120619
"364","motorbike",11,5,0.370593890183529,0.692323224917281,0.0950537980362009,0.337349296978269,0.609987776648471,0.0895141320033434,0.767732902623972,0.83985911098163,0.542095978786146,-0.0158882938582284
"365","car",11,5,-0.00342546124649281,0.180060185375847,-0.162572339162978,-0.0384261274178272,0.122095811302988,-0.189001478087859,1.34520824317423,1.23788024168635,2.30806228910069,0.323152872788008
"366","radio",11,5,0.11804836517833,0.179121892620239,0.0652428163185987,0.101795320609791,0.143559495953387,0.0734204214463524,0.403671476361614,0.365186347663261,0.581977243192594,0.224205088710555
"367","tv",11,5,0.0200097038110825,-0.113300789831621,0.147161246250531,0.0440939053815468,-0.0498313758777234,0.156558059285284,-0.159446829525121,-0.22868438852821,0.25551686232179,0.0962975084577474
"368","fridge",11,5,0.277688163952342,0.647949473909541,-0.052623540727116,0.240164998969725,0.557405689701108,-0.0487273820344139,1.53976308666024,1.66819705368115,0.765262287460758,0.134861211699232
"369","kitchen",11,5,0.52769641687615,0.656347854078441,0.460083002243072,0.527261641220443,0.659200701149845,0.461656828852912,1.67513998312179,1.96141150660605,1.00073648496954,0.0679799992835428
"370","horse",11,5,0.245822248598819,0.546851946058684,-0.030775448943894,0.21629123001211,0.501335957483516,-0.0355686975309928,1.42371878478865,1.50466507894566,0.86300395628582,-0.15757763935148
"371","goat",11,5,0.0197021050900875,-0.0254488761773506,0.0677860494957193,-0.0449534386905268,-0.161856144218717,0.0646658667747763,-0.266044713467259,-0.291163634326871,0.00075633130814847,0.222071105813494
"372","chicken",11,5,0.386265066112187,0.499448086443694,0.336990343149145,0.320640267152825,0.357960397334497,0.329362166398394,0.400829721926543,0.525493475589021,0.0168614321114538,0.141620857775968
"373","bullock",11,5,0.182390707705124,0.344189747073436,0.0420477380665967,0.158635647053007,0.271861563718416,0.0520400208967004,-0.0138560038487775,0.0216700725655449,0.249483775016673,-0.361560851316049
"374","pig",11,5,0.251480080248462,0.402166494398127,0.134525815095632,0.215557494275743,0.33093275463546,0.14933516389515,0.924979411569008,0.953283316570839,0.400671700031889,-0.00924653371775259
"375","rooms",12,5,0.212840243285673,0.439073877617285,0.0252434279366584,0.249725716467378,0.498407752930291,0.0329352122512072,1.01886198933311,1.06287326293107,0.351703987251671,-0.00619940093442144
"376","hhsize",12,5,-0.0653391012501615,0.00497694736078907,-0.159104082260615,-0.0562211641246001,0.0438966942856108,-0.169060352467782,0.208978368742488,0.154135665347863,0.281007125871848,-0.551569952157979
"377","age1660",12,5,0.0957260985703865,0.0172208880475125,0.178518452059072,0.0931938699800229,0.0263249263214351,0.175614033647923,-0.648977981773509,-0.738862743507063,-0.130321287435739,-0.132883214782123
"378","age60",12,5,-0.339753507809671,-0.403323982385269,-0.342781360471663,-0.37602273029394,-0.459437580477237,-0.349682074968004,-1.21559364876955,-1.25373264373475,-0.460518741303159,-0.79078244263607
"379","floor",12,5,0.286444429693717,0.325882260545858,0.261576427430079,0.250162881773719,0.261524978041228,0.262465650381127,0.337564314833772,0.201699939319101,0.44335140386864,0.0985847058858717
"380","walls",12,5,0.344587905792574,0.64427801569529,0.106692926101949,0.349199683363821,0.635465448852918,0.12280209748066,2.05442516634264,2.13925925254632,0.897547410868227,0.226828490070605
"381","roof",12,5,0.166984040576131,0.498826433661801,-0.120694813921367,0.117963074760034,0.379196080967793,-0.124047201745567,1.06652210610529,1.03018823292061,0.49567740075245,0.256581697013455
"382","toilet",12,5,0.0879396728136623,0.17090115744485,0.0356637985952139,0.0418189340451757,0.04788255651972,0.0466466229715731,-0.247174510788174,0.0281677839579647,0.0199596198608896,-0.377957928107644
"383","well",12,5,0.149307436548253,0.412206255814022,-0.0861711807009948,0.150555168078296,0.394942517304872,-0.0767142307812376,0.747717639083543,0.873989267849553,0.709832094690345,-0.215867971749291
"384","water",12,5,0.0254383247322674,0.0265973733390355,0.0208686960183559,-0.0346881680589173,-0.101988653338158,0.0144169302479782,0.339577455306175,-0.0696977876804341,0.106779344641933,0.633709401663832
"385","waste",12,5,0.246509962076794,0.310974433274359,0.231037483410137,0.286640914037754,0.346443200217057,0.262569089999467,0.263286326269232,0.624216269310132,0.602997566141432,-0.46642436145734
"386","male",12,5,-0.641408085560395,-0.842749659908639,-0.546927067459431,-0.64172505438647,-0.827812758684946,-0.54837330757326,-2.09458169769168,-2.04190559337077,-0.573102740309601,0.0947465628162645
"387","married",12,5,0.208341686247341,0.354870266276325,0.0866615690310051,0.185843664255475,0.324135073084254,0.0861540788319609,0.690910386619998,0.533665032276433,0.345236573945938,-0.201635346966295
"388","widow",12,5,0.648536653629181,0.826062184449967,0.552478532455754,0.609997639990886,0.745071587929573,0.548400950702683,2.29788600946631,2.10706848333984,0.414065326631435,0.100329875099813
"389","minority",12,5,0.152732860227802,0.435341203874266,-0.0975012845735033,0,0,0,2.24581282412088,0,0,0
"390","primary",12,5,-0.131758610896776,-0.350864442779711,0.0705185436820748,-0.182951697451461,-0.46471357983706,0.0784953596142587,-0.877029669991011,-0.97510860276834,-0.343725187546595,0.393460606972157
"391","secondary",12,5,0.182732134120426,0.236264499041023,0.152887160409986,0.156609403336731,0.16790781216368,0.158962842177291,-0.267470920782627,-0.514058827376139,-0.21849065179214,0.338033350360465
"392","tertiary",12,5,0.0776745941634907,0.31147579085582,-0.129651013910055,0.0196032028046013,0.223108652145057,-0.170979288913394,2.23315889168807,2.19249443536481,0.915250637753367,0.606796023561211
"393","literacy",12,5,0.229823346102454,0.435523149036416,0.0665898038892783,0.195300726037108,0.37053577280502,0.0606556166039533,0.446730106065415,0.368648486415915,0.328530592447279,-0.128698250955753
"394","agriculture",12,5,0.10759732643494,0.0166436645404588,0.200216122408648,0.0568989023629165,-0.0872580148675469,0.193691694836855,-0.209556949253155,-0.618671297611033,-0.213427679123217,0.183480649141011
"395","cart",12,5,0.0294223593454098,-0.0214899822647508,0.0918698653429032,0.0547764438892437,0.004318865523332,0.107617594354674,0.0350058910134289,0.0997364041170825,-0.324623418925052,0.615824388786898
"396","plow",12,5,-0.0705716359606862,-0.262089635770471,0.10255093395675,-0.0947690942449965,-0.282621871443426,0.090602022880543,-0.946306414316392,-1.13224274032578,-0.403010933154971,-0.0475881533379353
"397","bike",12,5,0.34956316260106,0.40568055815218,0.33672348585784,0.268241030393753,0.237074277567907,0.317187671956801,0.592060883185307,0.575434942830472,0.44896948018931,0.568216264502224
"398","motorbike",12,5,0.145192720346479,0.259572467437468,0.0711640964781901,0.155576681096652,0.267646880178712,0.0644460501952494,-0.0729035481431265,-0.264786233244406,0.395001928258838,0.247822668186771
"399","car",12,5,-0.144998117959936,-0.110740035105273,-0.222481829266827,-0.199295467564825,-0.153944750094098,-0.2631021163551,-0.596072036399592,-1.13453780406222,0.370510672713496,2.27281716754204
"400","radio",12,5,0.347071515843814,0.666238821408585,0.073324915287366,0.312895139737985,0.606917867845521,0.0774999498003113,1.858797712323,1.8210156846186,0.939189254090771,-0.176192647288238
"401","tv",12,5,0.152601043925413,0.173351638717101,0.168756590187538,0.166805195987983,0.174505681377165,0.179755636271197,0.569087462372148,0.795266309336631,0.107638908889781,0.212707314905269
"402","fridge",12,5,0.160807520460028,0.441723401412727,-0.104148170841533,0.125840129031301,0.363038843252184,-0.108413993078663,1.90609266994441,2.07583936621847,1.13124484940915,0.190186223329138
"403","kitchen",12,5,0.44407954886648,0.541265526804902,0.429385919480017,0.425778474291198,0.504174861418057,0.414175366147069,1.06270432310079,1.45963413331617,0.600628938153962,-0.757938919901501
"404","horse",12,5,0.181446328331142,0.432469202242074,-0.0323263015250453,0.166580170714091,0.381619180438002,-0.0360130180335205,1.69121587238316,1.22700189550128,0.727106345698349,-0.531214643929383
"405","goat",12,5,0.0970393292570197,0.10887574484206,0.0900548831084472,0.0675735995055536,0.0525646424136352,0.0851172013879714,-0.0900385906834943,0.0974306475401442,0.24086545944406,0.405112283750398
"406","chicken",12,5,0.172277463426115,0.0526668740278725,0.314306777624436,0.15454032896673,0.0234286187036948,0.313093427379457,-0.550864646118135,-0.453795580317147,-0.118968748384014,0.576175577370431
"407","bullock",12,5,0.15639999876128,0.299926012299974,0.0401695560826375,0.143934768520661,0.260749747401234,0.0513083805818758,0.113114603335667,0.370948776677199,0.408178987781389,-0.0298995895964326
"408","pig",12,5,0.0155057273017613,-0.0900847566061038,0.118594218115469,0.0128580308540554,-0.127113207670851,0.13256447451168,-0.0442272836715457,-0.374557703830874,-0.139278406223689,0.0425203510155397
"409","rooms",13,5,0.348677270937587,0.730441841947753,0.0310142815778456,0.367136089437331,0.752343836402888,0.030173526453133,1.59096681386176,1.56983484468346,0.665204286608256,0.243479300991663
"410","hhsize",13,5,0.0551551131872582,0.283207924301941,-0.159981574524976,0.057533549294438,0.319341889802562,-0.172475733799373,0.313576936934413,0.225783767963844,0.511880522779944,-0.573855233154661
"411","age1660",13,5,0.0352692569402319,-0.102987278763352,0.176592425211917,0.0338971401649238,-0.0979501938512747,0.172821056124823,-0.217968155885478,-0.218713953275224,-0.307405191313053,-0.349363692747216
"412","age60",13,5,-0.305168194427747,-0.318111543498383,-0.338213778103649,-0.308740399067222,-0.325145255242319,-0.336701117375314,-0.314440640308474,-0.215034430774413,-0.334778564494014,-0.558763547088895
"413","floor",13,5,0.445199540161521,0.684535104570807,0.278144069483441,0.43903164183592,0.663741762557333,0.28911741251972,1.04088716414554,1.12436513532503,0.601465265389447,-0.0741685362501237
"414","walls",13,5,0.00833704768283323,-0.0510396287167313,0.0763512930032267,-0.00226051882337216,-0.085524625288772,0.0894172254829162,-0.584991088840639,-0.48898511325815,-0.105956191863618,-0.0475554511197084
"415","roof",13,5,0.0913976170535841,0.354116471923087,-0.141879778672347,0.078119553807686,0.316746355845597,-0.135250485591327,0.701593750356162,0.644549703997084,0.288497402713295,-0.291891106316131
